county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,27782.085,215.625,0.0,153147.0,1875.0,1875.0
6003,16.0,0.0,17900.0,14861.0,5896.98,0.0,0.0,32761.0,0.0,0.0
6005,22.0,4100.0,112600.0,34975.0,26799.25,235.75,0.0,147575.0,2050.0,2050.0
6007,30.0,392050.0,0.0,0.0,22542.875,22542.875,0.0,0.0,196025.0,196025.0
6007,33.0,0.0,214600.0,105133.7,57552.066,0.0,0.0,319733.7,0.0,0.0
6009,15.0,1300.0,194400.0,60858.0,46021.19,74.75,0.0,255258.0,650.0,650.0
6011,8.0,370389.93,0.0,0.0,21297.420975,21297.420975,0.0,0.0,185194.965,185194.965
6011,30.0,211828.8,0.0,0.0,12180.156,12180.156,0.0,0.0,105914.4,105914.4
6011,32.0,14171.27,0.0,0.0,814.848025,814.848025,0.0,0.0,7085.635,7085.635
6011,57.0,0.0,52800.0,7316.31,10820.9358,0.0,0.0,60116.31,0.0,0.0
6013,27.0,56880.0,0.0,0.0,3270.6,3270.6,0.0,0.0,28440.0,28440.0
6013,62.0,0.0,5000.0,105301.0,19854.18,0.0,0.0,110301.0,0.0,0.0
6015,35.0,0.0,0.0,46354.036,8343.72648,0.0,0.0,46354.036,0.0,0.0
6015,52.0,0.0,111400.0,1347.964,20294.63352,0.0,0.0,112747.964,0.0,0.0
6017,22.0,3000.0,370200.0,189723.1,100958.658,172.5,0.0,559923.1,1500.0,1500.0
6019,10.0,574620.0,0.0,0.0,33040.65,33040.65,0.0,0.0,287310.0,287310.0
6019,51.0,0.0,149900.0,191818.0,61509.24,0.0,0.0,341718.0,0.0,0.0
6021,8.0,403900.0,43700.0,19210.77,34548.1886,23224.25,0.0,62910.77,201950.0,201950.0
6023,29.0,0.0,74196.2,0.0,13355.316,0.0,0.0,74196.2,0.0,0.0
6023,35.0,0.0,963503.8,214142.164,211976.27352,0.0,0.0,1177645.964,0.0,0.0
6023,36.0,0.0,0.0,74455.436,13401.97848,0.0,0.0,74455.436,0.0,0.0
6025,49.0,239960.0,0.0,0.0,13797.7,13797.7,0.0,0.0,119980.0,119980.0
6025,50.0,0.0,142400.0,26177.62,30343.9716,0.0,0.0,168577.62,0.0,0.0
6027,13.0,230.0,129500.0,8279.31,24813.5008,13.225,0.0,137779.31,115.0,115.0
6029,69.0,384900.0,215100.0,103458.2,79472.226,22131.75,0.0,318558.2,192450.0,192450.0
6031,47.0,0.0,1000.0,10278.4,2030.112,0.0,0.0,11278.4,0.0,0.0
6031,48.0,327740.0,0.0,0.0,18845.05,18845.05,0.0,0.0,163870.0,163870.0
6033,57.0,13020.0,227600.0,41756.23,49232.7714,748.65,0.0,269356.23,6510.0,6510.0
6035,23.0,9810.0,513300.0,174939.154,124447.12272,564.075,0.0,688239.154,4905.0,4905.0
6037,53.0,0.0,119300.0,479830.0,107843.4,0.0,0.0,599130.0,0.0,0.0
6037,67.0,990.0,0.0,676308.0,121792.365,56.925,0.0,676308.0,495.0,495.0
