county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,9954.555,10592.055,3750.0,0.0,76573.5,76573.5
6003,16.0,0.0,17900.0,14861.0,2129.465,2129.465,0.0,0.0,16380.5,16380.5
6005,22.0,4100.0,112600.0,34975.0,9592.375,10289.375,4100.0,0.0,73787.5,73787.5
6007,30.0,392050.0,0.0,0.0,0.0,66648.5,392050.0,0.0,0.0,0.0
6007,33.0,0.0,214600.0,105133.7,20782.6905,20782.6905,0.0,0.0,159866.85,159866.85
6009,20.0,1300.0,194400.0,60858.0,16591.77,16812.77,1300.0,0.0,127629.0,127629.0
6011,8.0,370389.93,0.0,0.0,0.0,62966.2881,370389.93,0.0,0.0,0.0
6011,30.0,211828.8,0.0,0.0,0.0,36010.896,211828.8,0.0,0.0,0.0
6011,32.0,14171.27,0.0,0.0,0.0,2409.1159,14171.27,0.0,0.0,0.0
6011,57.0,0.0,52800.0,7316.31,3907.56015,3907.56015,0.0,0.0,30058.155,30058.155
6013,27.0,56880.0,0.0,0.0,0.0,9669.6,56880.0,0.0,0.0,0.0
6013,62.0,0.0,5000.0,105301.0,7169.565,7169.565,0.0,0.0,55150.5,55150.5
6015,35.0,0.0,0.0,46354.036,3013.01234,3013.01234,0.0,0.0,23177.018,23177.018
6015,52.0,0.0,111400.0,1347.964,7328.61766,7328.61766,0.0,0.0,56373.982,56373.982
6017,22.0,3000.0,370200.0,189723.1,36395.0015,36905.0015,3000.0,0.0,279961.55,279961.55
6019,10.0,574620.0,0.0,0.0,0.0,97685.4,574620.0,0.0,0.0,0.0
6019,51.0,0.0,149900.0,191818.0,22211.67,22211.67,0.0,0.0,170859.0,170859.0
6021,8.0,403900.0,43700.0,19210.77,4089.20005,72752.20005,403900.0,0.0,31455.385,31455.385
6023,29.0,0.0,0.0,74196.2,4822.753,4822.753,0.0,0.0,37098.1,37098.1
6023,35.0,0.0,963244.564,214401.4,76546.98766,76546.98766,0.0,0.0,588822.982,588822.982
6023,36.0,0.0,74455.436,0.0,4839.60334,4839.60334,0.0,0.0,37227.718,37227.718
6025,49.0,239960.0,0.0,0.0,0.0,40793.2,239960.0,0.0,0.0,0.0
6025,50.0,0.0,142400.0,26177.62,10957.5453,10957.5453,0.0,0.0,84288.81,84288.81
6027,13.0,230.0,129500.0,8279.31,8955.65515,8994.75515,230.0,0.0,68889.655,68889.655
6029,69.0,384900.0,215100.0,103458.2,20706.283,86139.283,384900.0,0.0,159279.1,159279.1
6031,47.0,0.0,1000.0,10278.4,733.096,733.096,0.0,0.0,5639.2,5639.2
6031,48.0,327740.0,0.0,0.0,0.0,55715.8,327740.0,0.0,0.0,0.0
6033,57.0,13020.0,227600.0,41756.23,17508.15495,19721.55495,13020.0,0.0,134678.115,134678.115
6035,23.0,9810.0,513300.0,174939.154,44735.54501,46403.24501,9810.0,0.0,344119.577,344119.577
6037,53.0,0.0,119300.0,230387.0,22729.655,22729.655,0.0,0.0,174843.5,174843.5
6037,67.0,990.0,0.0,925751.0,60173.815,60342.115,990.0,0.0,462875.5,462875.5
6039,14.0,162510.0,0.0,0.0,0.0,27626.7,162510.0,0.0,0.0,0.0
6039,51.0,0.0,118200.0,88941.4,13464.191,13464.191,0.0,0.0,103570.7,103570.7
6041,61.0,160.0,23900.0,23579.8,3086.187,3113.387,160.0,0.0,23739.9,23739.9
6043,51.0,100.0,133700.0,29405.154,10601.83501,10618.83501,100.0,0.0,81552.577,81552.577
6045,37.0,0.0,1021700.0,202300.0,79560.0,79560.0,0.0,0.0,612000.0,612000.0
6045,57.0,17090.0,0.0,29228.4,1899.846,4805.146,17090.0,0.0,14614.2,14614.2
6047,56.0,291370.0,2500.0,23718.94,1704.2311,51237.1311,291370.0,0.0,13109.47,13109.47
6049,25.0,0.0,324600.0,101699.154,27709.44501,27709.44501,0.0,0.0,213149.577,213149.577
6049,52.0,21400.0,0.0,0.0,0.0,3638.0,21400.0,0.0,0.0,0.0
6051,13.0,190.0,0.0,0.0,0.0,32.3,190.0,0.0,0.0,0.0
6051,16.0,0.0,76000.0,29216.0,6839.04,6839.04,0.0,0.0,52608.0,52608.0
6053,3.0,0.0,93200.0,39279.4,8611.161,8611.161,0.0,0.0,66239.7,66239.7
6053,43.0,54670.0,0.0,0.0,0.0,9293.9,54670.0,0.0,0.0,0.0
6055,62.0,39870.0,123100.0,33115.3,10153.9945,16931.8945,39870.0,0.0,78107.65,78107.65
6057,24.0,390.0,226700.0,91364.8,20674.212,20740.512,390.0,0.0,159032.4,159032.4
6059,68.0,40.0,9900.0,551466.0,36488.79,36495.59,40.0,0.0,280683.0,280683.0
6061,24.0,0.0,167200.0,117438.9,18501.5285,18501.5285,0.0,0.0,142319.45,142319.45
6061,31.0,51050.0,0.0,0.0,0.0,8678.5,51050.0,0.0,0.0,0.0
6063,21.0,0.0,375100.0,293442.31,43455.25015,43455.25015,0.0,0.0,334271.155,334271.155
6065,1.0,0.0,225900.0,220382.0,29008.33,29008.33,0.0,0.0,223141.0,223141.0
6065,50.0,80980.0,0.0,0.0,0.0,13766.6,80980.0,0.0,0.0,0.0
6067,31.0,193810.0,700.0,161319.0,10531.235,43478.935,193810.0,0.0,81009.5,81009.5
6069,3.0,6350.0,40900.0,9310.3,3263.6695,4343.1695,6350.0,0.0,25105.15,25105.15
6071,53.0,2370.0,622500.0,249443.0,56676.295,57079.195,2370.0,0.0,435971.5,435971.5
6073,2.0,26080.0,244900.0,414573.0,42865.745,47299.345,26080.0,0.0,329736.5,329736.5
6075,61.0,0.0,0.0,60599.2,3938.948,3938.948,0.0,0.0,30299.6,30299.6
6077,52.0,510650.0,2300.0,85189.0,5686.785,92497.285,510650.0,0.0,43744.5,43744.5
6079,19.0,0.0,118600.0,35580.5,10021.7325,10021.7325,0.0,0.0,77090.25,77090.25
6079,65.0,47370.0,0.0,0.0,0.0,8052.9,47370.0,0.0,0.0,0.0
6081,4.0,980.0,28300.0,80128.6,7047.859,7214.459,980.0,0.0,54214.3,54214.3
6083,39.0,31920.0,78900.0,46705.4,8164.351,13590.751,31920.0,0.0,62802.7,62802.7
6085,4.0,9020.0,67900.0,145442.0,13867.23,15400.63,9020.0,0.0,106671.0,106671.0
6087,3.0,0.0,75700.0,45234.3,7860.7295,7860.7295,0.0,0.0,60467.15,60467.15
6087,4.0,2960.0,0.0,0.0,0.0,503.2,2960.0,0.0,0.0,0.0
6089,23.0,0.0,525950.846,0.0,34186.80499,34186.80499,0.0,0.0,262975.423,262975.423
6089,36.0,17850.0,137249.154,254077.1,25436.20651,28470.70651,17850.0,0.0,195663.127,195663.127
6091,24.0,0.0,108000.0,85435.0,12573.275,12573.275,0.0,0.0,96717.5,96717.5
