county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,31379.4,10170.18,0.0,0.0,78448.5,78448.5
6003,16.0,0.0,17900.0,14861.0,6552.2,2129.465,0.0,0.0,16380.5,16380.5
6005,22.0,4100.0,112600.0,34975.0,30335.0,9828.125,0.0,0.0,75837.5,75837.5
6007,30.0,392050.0,0.0,0.0,78410.0,22542.875,0.0,0.0,196025.0,196025.0
6007,33.0,0.0,214600.0,105133.7,63946.74,20782.6905,0.0,0.0,159866.85,159866.85
6009,20.0,1300.0,194400.0,60858.0,51311.6,16666.52,0.0,0.0,128279.0,128279.0
6011,8.0,370389.93,0.0,0.0,74077.986,21297.420975,0.0,0.0,185194.965,185194.965
6011,30.0,211668.1,0.0,0.0,42333.62,12170.91575,0.0,0.0,105834.05,105834.05
6011,32.0,14331.97,0.0,0.0,2866.394,824.088275,0.0,0.0,7165.985,7165.985
6011,57.0,0.0,52800.0,7316.31,12023.262,3907.56015,0.0,0.0,30058.155,30058.155
6013,27.0,56880.0,0.0,0.0,11376.0,3270.6,0.0,0.0,28440.0,28440.0
6013,62.0,0.0,5000.0,105301.0,22060.2,7169.565,0.0,0.0,55150.5,55150.5
6015,35.0,0.0,46354.036,0.0,9270.8072,3013.01234,0.0,0.0,23177.018,23177.018
6015,52.0,0.0,65045.964,10342.096,15077.612,4900.2239,0.0,0.0,37694.03,37694.03
6015,62.0,0.0,0.0,37359.904,7471.9808,2428.39376,0.0,0.0,18679.952,18679.952
6017,22.0,3000.0,370200.0,189723.1,112584.62,36567.5015,0.0,0.0,281461.55,281461.55
6019,10.0,574620.0,0.0,0.0,114924.0,33040.65,0.0,0.0,287310.0,287310.0
6019,51.0,0.0,149900.0,191818.0,68343.6,22211.67,0.0,0.0,170859.0,170859.0
6021,8.0,403900.0,43700.0,19210.77,93362.154,27313.45005,0.0,0.0,233405.385,233405.385
6023,29.0,0.0,0.0,74196.2,14839.24,4822.753,0.0,0.0,37098.1,37098.1
6023,35.0,0.0,963244.564,214401.4,235529.1928,76546.98766,0.0,0.0,588822.982,588822.982
6023,36.0,0.0,74455.436,0.0,14891.0872,4839.60334,0.0,0.0,37227.718,37227.718
6025,49.0,239960.0,0.0,0.0,47992.0,13797.7,0.0,0.0,119980.0,119980.0
6025,50.0,0.0,142400.0,26177.62,33715.524,10957.5453,0.0,0.0,84288.81,84288.81
6027,13.0,230.0,129500.0,8279.31,27601.862,8968.88015,0.0,0.0,69004.655,69004.655
6029,69.0,384900.0,215100.0,103458.2,140691.64,42838.033,0.0,0.0,351729.1,351729.1
6031,47.0,0.0,1000.0,10278.4,2255.68,733.096,0.0,0.0,5639.2,5639.2
6031,48.0,327740.0,0.0,0.0,65548.0,18845.05,0.0,0.0,163870.0,163870.0
6033,57.0,13020.0,227600.0,41756.23,56475.246,18256.80495,0.0,0.0,141188.115,141188.115
6035,23.0,9810.0,513300.0,174939.154,139609.8308,45299.62001,0.0,0.0,349024.577,349024.577
6037,53.0,0.0,119300.0,10005.0,25861.0,8404.825,0.0,0.0,64652.5,64652.5
6037,67.0,990.0,0.0,997110.0,199620.0,64869.075,0.0,0.0,499050.0,499050.0
6037,68.0,0.0,0.0,149023.0,29804.6,9686.495,0.0,0.0,74511.5,74511.5
6039,14.0,162510.0,0.0,0.0,32502.0,9344.325,0.0,0.0,81255.0,81255.0
6039,51.0,0.0,118200.0,88941.4,41428.28,13464.191,0.0,0.0,103570.7,103570.7
6041,62.0,160.0,23900.0,23579.8,9527.96,3095.387,0.0,0.0,23819.9,23819.9
6043,51.0,100.0,133700.0,29405.154,32641.0308,10607.58501,0.0,0.0,81602.577,81602.577
6045,37.0,17090.0,1021700.0,185210.0,244800.0,79431.825,0.0,0.0,612000.0,612000.0
6045,57.0,0.0,0.0,46318.4,9263.68,3010.696,0.0,0.0,23159.2,23159.2
6047,52.0,291370.0,2500.0,23718.94,63517.788,18458.0061,0.0,0.0,158794.47,158794.47
6049,25.0,0.0,324600.0,101699.154,85259.8308,27709.44501,0.0,0.0,213149.577,213149.577
6049,52.0,21400.0,0.0,0.0,4280.0,1230.5,0.0,0.0,10700.0,10700.0
6051,13.0,190.0,0.0,0.0,38.0,10.925,0.0,0.0,95.0,95.0
6051,16.0,0.0,76000.0,29216.0,21043.2,6839.04,0.0,0.0,52608.0,52608.0
6053,3.0,0.0,93200.0,39279.4,26495.88,8611.161,0.0,0.0,66239.7,66239.7
6053,43.0,54670.0,0.0,0.0,10934.0,3143.525,0.0,0.0,27335.0,27335.0
6055,62.0,39870.0,123100.0,33115.3,39217.06,12446.5195,0.0,0.0,98042.65,98042.65
6057,26.0,390.0,226700.0,91364.8,63690.96,20696.637,0.0,0.0,159227.4,159227.4
