county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,40680.72,0.0,0.0,0.0,0.0,156897.0
6003,16.0,0.0,17900.0,14861.0,8517.86,0.0,0.0,0.0,0.0,32761.0
6005,22.0,4100.0,112600.0,34975.0,39312.5,0.0,0.0,0.0,0.0,151675.0
6007,30.0,392050.0,0.0,0.0,90171.5,0.0,0.0,0.0,0.0,392050.0
6007,33.0,0.0,214600.0,105133.7,83130.762,0.0,0.0,0.0,0.0,319733.7
6009,20.0,1300.0,194400.0,60858.0,66666.08,0.0,0.0,0.0,0.0,256558.0
6011,8.0,370389.93,0.0,0.0,85189.6839,0.0,0.0,0.0,0.0,370389.93
6011,30.0,211668.1,0.0,0.0,48683.663,0.0,0.0,0.0,0.0,211668.1
6011,32.0,14331.97,0.0,0.0,3296.3531,0.0,0.0,0.0,0.0,14331.97
6011,57.0,0.0,52800.0,7316.31,15630.2406,0.0,0.0,0.0,0.0,60116.31
6013,27.0,56880.0,0.0,0.0,13082.4,0.0,0.0,0.0,0.0,56880.0
6013,71.0,0.0,5000.0,105301.0,28678.26,0.0,0.0,0.0,0.0,110301.0
6015,35.0,0.0,46354.036,0.0,12052.04936,0.0,0.0,0.0,0.0,46354.036
6015,71.0,0.0,65045.964,47702.0,29314.47064,0.0,0.0,0.0,0.0,112747.964
6017,22.0,3000.0,370200.0,189723.1,146270.006,0.0,0.0,0.0,0.0,562923.1
6019,10.0,574620.0,0.0,0.0,132162.6,0.0,0.0,0.0,0.0,574620.0
6019,51.0,0.0,149900.0,191818.0,88846.68,0.0,0.0,0.0,0.0,341718.0
6021,8.0,403900.0,43700.0,19210.77,109253.8002,0.0,0.0,0.0,0.0,466810.77
6023,29.0,0.0,0.0,74196.2,19291.012,0.0,0.0,0.0,0.0,74196.2
6023,35.0,0.0,963244.564,214401.4,306187.95064,0.0,0.0,0.0,0.0,1177645.964
6023,36.0,0.0,74455.436,0.0,19358.41336,0.0,0.0,0.0,0.0,74455.436
6025,49.0,239960.0,0.0,0.0,55190.8,0.0,0.0,0.0,0.0,239960.0
6025,50.0,0.0,142400.0,26177.62,43830.1812,0.0,0.0,0.0,0.0,168577.62
6027,13.0,230.0,129500.0,8279.31,35875.5206,0.0,0.0,0.0,0.0,138009.31
6029,69.0,384900.0,215100.0,103458.2,171352.132,0.0,0.0,0.0,0.0,703458.2
6031,47.0,0.0,1000.0,10278.4,2932.384,0.0,0.0,0.0,0.0,11278.4
6031,48.0,327740.0,0.0,0.0,75380.2,0.0,0.0,0.0,0.0,327740.0
6033,57.0,13020.0,227600.0,41756.23,73027.2198,0.0,0.0,0.0,0.0,282376.23
6035,23.0,9810.0,513300.0,174939.154,181198.48004,0.0,0.0,0.0,0.0,698049.154
6037,53.0,0.0,0.0,599130.0,155773.8,0.0,0.0,0.0,0.0,599130.0
6037,67.0,990.0,119300.0,407985.0,137321.8,0.0,0.0,0.0,0.0,528275.0
6037,68.0,0.0,0.0,149023.0,38745.98,0.0,0.0,0.0,0.0,149023.0
6039,14.0,162510.0,0.0,0.0,37377.3,0.0,0.0,0.0,0.0,162510.0
6039,51.0,0.0,118200.0,88941.4,53856.764,0.0,0.0,0.0,0.0,207141.4
6041,71.0,160.0,23900.0,23579.8,12381.548,0.0,0.0,0.0,0.0,47639.8
6043,51.0,100.0,133700.0,29405.154,42430.34004,0.0,0.0,0.0,0.0,163205.154
6045,37.0,17090.0,1021700.0,185210.0,317727.3,0.0,0.0,0.0,0.0,1224000.0
6045,57.0,0.0,0.0,46318.4,12042.784,0.0,0.0,0.0,0.0,46318.4
6047,52.0,291370.0,2500.0,23718.94,73832.0244,0.0,0.0,0.0,0.0,317588.94
6049,25.0,0.0,324600.0,101699.154,110837.78004,0.0,0.0,0.0,0.0,426299.154
6049,71.0,21400.0,0.0,0.0,4922.0,0.0,0.0,0.0,0.0,21400.0
6051,13.0,190.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,190.0
