county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,0.0,40680.72,0.0,0.0,156897.0,0.0
6003,22.0,0.0,17900.0,14861.0,0.0,8517.86,0.0,0.0,32761.0,0.0
6005,22.0,4100.0,112600.0,34975.0,0.0,39312.5,0.0,0.0,151675.0,0.0
6007,30.0,392050.0,0.0,0.0,0.0,90171.5,0.0,0.0,392050.0,0.0
6007,33.0,0.0,214600.0,105133.7,0.0,83130.762,0.0,0.0,319733.7,0.0
6009,20.0,1300.0,194400.0,60858.0,0.0,66666.08,0.0,0.0,256558.0,0.0
6011,8.0,370389.93,0.0,0.0,0.0,85189.6839,0.0,0.0,370389.93,0.0
6011,30.0,211828.8,0.0,0.0,0.0,48720.624,0.0,0.0,211828.8,0.0
6011,32.0,14171.27,0.0,0.0,0.0,3259.3921,0.0,0.0,14171.27,0.0
6011,37.0,0.0,52800.0,7316.31,0.0,15630.2406,0.0,0.0,60116.31,0.0
6013,27.0,56880.0,0.0,0.0,0.0,13082.4,0.0,0.0,56880.0,0.0
6013,62.0,0.0,5000.0,105301.0,0.0,28678.26,0.0,0.0,110301.0,0.0
6015,35.0,0.0,111400.0,47702.0,0.0,41366.52,0.0,0.0,159102.0,0.0
6017,22.0,3000.0,370200.0,189723.1,0.0,146270.006,0.0,0.0,562923.1,0.0
6019,10.0,574620.0,0.0,0.0,0.0,132162.6,0.0,0.0,574620.0,0.0
6019,51.0,0.0,149900.0,191818.0,0.0,88846.68,0.0,0.0,341718.0,0.0
6021,8.0,403900.0,43700.0,19210.77,0.0,109253.8002,0.0,0.0,466810.77,0.0
6023,35.0,0.0,177832.615385,0.0,0.0,46236.48,0.0,0.0,177832.615385,0.0
6025,49.0,239960.0,0.0,0.0,0.0,55190.8,0.0,0.0,239960.0,0.0
6025,50.0,0.0,142400.0,26177.62,0.0,43830.1812,0.0,0.0,168577.62,0.0
6029,66.0,384900.0,215100.0,103458.2,0.0,171352.132,0.0,0.0,703458.2,0.0
6031,47.0,0.0,1000.0,10278.4,0.0,2932.384,0.0,0.0,11278.4,0.0
6031,48.0,327740.0,0.0,0.0,0.0,75380.2,0.0,0.0,327740.0,0.0
6033,37.0,0.0,227600.0,41756.23,0.0,70032.6198,0.0,0.0,269356.23,0.0
