origin,destination,herb_road,herb_rail,wood_road,wood_rail
6001,1,194.244,739.614,188.341,733.337
6001,2,215.364,744.992,215.364,744.992
6001,3,54.895,157.936,53.627,182.48
6001,4,38.2227,0.0,38.2227,0.0
6001,5,58.4595,67.9239,58.4595,67.9239
6001,6,80.1406,436.565,80.1406,436.565
6001,7,98.8348,345.862,145.499,391.822
6001,8,257.503,14.0081,257.503,14.0081
6001,9,92.6209,186.591,122.0,130.62
6001,10,74.1404,243.44,74.1404,243.44
6001,11,100.503,130.62,100.503,130.62
6001,12,310.376,186.591,363.275,0.0
6001,13,365.679,186.591,418.577,0.0
6001,14,80.4249,186.591,80.7148,243.44
6001,15,158.306,0.0,158.306,0.0
6001,16,144.217,345.862,173.732,391.822
6001,17,79.4672,362.375,79.4672,362.375
6001,18,154.846,436.565,154.846,436.565
6001,19,98.2991,332.648,97.0311,357.193
6001,20,133.97,67.9239,133.97,67.9239
6001,21,127.556,345.862,174.22,391.822
6001,22,159.138,67.9239,159.138,67.9239
6001,23,179.184,345.862,225.847,391.822
6001,24,212.907,67.9239,212.907,67.9239
6001,25,202.62,588.787,200.889,588.279
6001,26,172.345,67.9239,172.345,67.9239
6001,27,54.4706,0.0,54.4706,0.0
6001,28,145.78,67.9239,145.78,67.9239
6001,29,186.27,588.787,182.047,588.279
6001,30,188.298,14.0081,188.298,14.0081
6001,31,123.715,67.9239,123.715,67.9239
6001,32,119.325,14.0081,119.325,14.0081
6001,33,269.871,14.0081,269.871,14.0081
6001,34,176.885,739.614,170.982,733.337
6001,35,406.15,152.579,406.15,152.579
6001,36,344.802,14.0081,344.802,14.0081
6001,37,158.185,152.579,158.185,152.579
6001,38,105.331,345.862,151.995,391.822
6001,39,89.9622,440.03,88.6943,464.574
6001,40,84.5396,739.324,84.5396,739.324
6001,41,173.881,436.565,173.881,436.565
6001,42,161.135,157.936,159.867,182.48
6001,43,141.568,157.936,140.3,182.48
6001,44,90.7203,352.318,90.7203,352.318
6001,45,88.9335,243.44,88.9335,243.44
6001,46,45.8428,352.318,45.8428,352.318
6001,47,45.8428,320.826,45.8428,320.826
6001,48,45.8428,362.375,45.8428,362.375
6001,49,45.8428,970.154,45.8428,970.154
6001,50,45.8428,964.569,45.8428,964.569
6001,51,45.8428,243.44,45.8428,243.44
6001,52,45.8428,67.9239,45.8428,67.9239
6001,53,45.8428,739.614,45.8428,739.614
6001,54,47.1108,157.936,45.8428,182.48
6001,55,47.1108,332.648,45.8428,357.193
6001,56,45.8428,130.62,45.8428,130.62
6001,57,45.8428,152.579,45.8428,152.579
6001,58,45.8428,436.565,45.8428,436.565
6001,59,45.8428,736.327,45.8428,736.327
6001,60,45.8428,739.324,45.8428,739.324
6001,61,47.1108,29.7954,45.8428,39.8276
6001,62,45.8428,21.1681,45.8428,21.1681
6001,63,45.8428,737.402,45.8428,737.402
6001,64,45.8428,739.113,45.8428,739.113
6001,65,47.1108,440.03,45.8428,464.574
6001,66,45.8428,436.565,45.8428,436.565
6001,67,45.8428,723.554,45.8428,723.554
6001,68,45.8428,729.559,45.8428,729.559
6001,69,45.8428,436.565,45.8428,436.565
6001,70,45.8428,5.14179,45.8428,5.14179
6001,71,45.8428,0.0,45.8428,0.0
6001,72,45.8428,737.661,45.8428,737.661
6001,73,45.8428,14.0081,45.8428,14.0081
6001,74,45.8428,738.152,45.8428,738.152
6001,75,45.8428,740.949,45.8428,740.949
6003,1,277.91,984.585,319.768,665.413
6003,2,299.029,989.963,346.79,677.068
6003,3,137.293,527.895,185.054,219.741
6003,4,196.621,387.565,261.335,67.9239
6003,5,194.405,0.0,179.669,0.0
6003,6,163.806,681.536,211.567,368.641
6003,7,173.662,0.0,159.14,0.0
6003,8,320.35,0.0,287.142,0.0
6003,9,176.287,431.332,253.427,62.6963
6003,10,157.806,488.182,205.567,175.516
6003,11,184.169,375.591,231.93,62.6963
6003,12,196.714,0.0,218.358,0.0
6003,13,252.016,0.0,273.66,0.0
6003,14,164.091,431.332,212.142,175.516
6003,15,125.847,0.0,168.02,0.0
6003,16,69.136,0.0,35.9272,0.0
6003,17,163.133,607.346,210.894,294.451
6003,18,238.511,681.536,286.272,368.641
6003,19,180.697,702.608,228.458,394.453
6003,20,104.721,0.0,146.893,0.0
6003,21,202.383,0.0,187.861,0.0
6003,22,145.175,0.0,111.966,0.0
6003,23,254.011,0.0,239.489,0.0
6003,24,224.064,0.0,190.855,0.0
6003,25,286.286,454.927,385.426,0.0
6003,26,186.172,0.0,152.964,0.0
6003,27,231.584,0.0,220.288,0.0
6003,28,178.813,0.0,145.604,0.0
6003,29,269.936,454.927,280.705,500.378
6003,30,251.145,0.0,217.936,0.0
6003,31,206.967,0.0,165.842,0.0
6003,32,236.193,0.0,195.513,0.0
6003,33,324.753,0.0,291.544,0.0
6003,34,260.55,984.585,302.409,665.413
6003,35,489.816,435.731,409.239,740.581
6003,36,432.731,0.0,399.522,0.0
6003,37,241.851,435.731,289.612,218.998
6003,38,140.102,0.0,106.893,0.0
6003,39,172.36,809.989,220.121,501.835
6003,40,168.205,984.295,215.966,671.4
6003,41,257.547,681.536,305.308,368.641
6003,42,243.533,527.895,291.294,219.741
6003,43,223.966,527.895,271.727,219.741
6003,44,174.386,597.289,222.147,284.394
6003,45,172.599,488.182,220.36,175.516
6003,46,129.508,597.289,177.27,284.394
6003,47,129.508,565.797,177.27,252.902
6003,48,129.508,607.346,177.27,294.451
6003,49,129.508,1215.12,177.27,902.23
6003,50,129.508,1209.54,177.27,896.645
6003,51,129.508,488.182,177.27,175.516
6003,52,189.059,0.0,177.27,0.0
6003,53,129.508,984.585,177.27,671.69
6003,54,129.508,527.895,177.27,219.741
6003,55,129.508,702.608,177.27,394.453
6003,56,129.508,375.591,177.27,62.6963
6003,57,129.508,435.731,177.27,218.998
6003,58,129.508,681.536,177.27,368.641
6003,59,129.508,981.298,177.27,668.403
6003,60,129.508,984.295,177.27,671.4
6003,61,129.508,375.771,177.27,107.752
6003,62,129.508,354.913,177.27,87.5869
6003,63,129.508,982.373,177.27,669.478
6003,64,129.508,984.084,177.27,671.189
6003,65,129.508,809.989,177.27,501.835
6003,66,129.508,681.536,177.27,368.641
6003,67,129.508,968.525,177.27,655.63
6003,68,129.508,974.53,177.27,661.635
6003,69,129.508,681.536,177.27,368.641
6003,70,129.508,340.72,177.27,71.5606
6003,71,129.508,345.862,177.27,67.9239
6003,72,129.508,982.632,177.27,669.737
6003,73,129.508,338.122,177.27,80.4269
6003,74,129.508,983.123,177.27,670.228
6003,75,129.508,985.921,177.27,673.025
6005,1,238.386,671.69,228.008,665.413
6005,2,259.506,677.068,255.03,677.068
6005,3,97.7693,219.741,93.2937,219.741
6005,4,157.098,110.074,169.575,67.9239
6005,5,92.384,0.0,87.9084,0.0
6005,6,124.283,368.641,119.807,368.641
6005,7,142.977,324.178,250.9,0.0
6005,8,219.701,0.0,215.226,0.0
6005,9,136.763,118.667,161.667,62.6963
6005,10,118.283,175.516,113.807,175.516
6005,11,144.645,62.6963,140.17,62.6963
6005,12,305.642,0.0,310.118,0.0
6005,13,360.945,0.0,365.42,0.0
6005,14,124.567,118.667,120.381,175.516
6005,15,80.7354,0.0,80.7787,0.0
6005,16,123.212,0.0,127.687,0.0
6005,17,123.609,294.451,119.134,294.451
6005,18,198.988,368.641,194.512,368.641
6005,19,141.173,394.453,136.698,394.453
6005,20,59.6089,0.0,59.6522,0.0
6005,21,171.698,324.178,279.621,0.0
6005,22,61.1366,0.0,56.661,0.0
6005,23,223.326,324.178,331.249,0.0
6005,24,142.981,0.0,138.506,0.0
6005,25,246.763,593.097,240.556,592.588
6005,26,102.134,0.0,97.6581,0.0
6005,27,133.003,0.0,128.528,0.0
6005,28,80.6443,0.0,76.1687,0.0
6005,29,230.412,593.097,221.713,592.588
6005,30,150.495,0.0,146.02,0.0
6005,31,78.5571,0.0,74.0815,0.0
6005,32,108.229,0.0,103.753,0.0
6005,33,224.104,0.0,219.628,0.0
6005,34,221.027,671.69,210.649,665.413
6005,35,450.293,218.998,350.248,667.874
6005,36,332.082,0.0,327.606,0.0
6005,37,202.327,218.998,197.852,218.998
6005,38,194.177,0.0,198.653,0.0
6005,39,132.837,501.835,128.361,501.835
6005,40,128.682,671.4,124.206,671.4
6005,41,218.023,368.641,213.548,368.641
6005,42,204.01,219.741,199.534,219.741
