county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,20340.36,20340.36,0.0,0.0,78448.5,78448.5
6003,16.0,0.0,17900.0,14861.0,4258.93,4258.93,0.0,0.0,16380.5,16380.5
6005,22.0,4100.0,112600.0,34975.0,19656.25,19656.25,0.0,0.0,75837.5,75837.5
6007,30.0,392050.0,0.0,0.0,45085.75,45085.75,0.0,0.0,196025.0,196025.0
6007,33.0,0.0,214600.0,105133.7,41565.381,41565.381,0.0,0.0,159866.85,159866.85
6009,20.0,1300.0,194400.0,60858.0,33333.04,33333.04,0.0,0.0,128279.0,128279.0
6011,8.0,370389.93,0.0,0.0,42594.84195,42594.84195,0.0,0.0,185194.965,185194.965
6011,30.0,211828.8,0.0,0.0,24360.312,24360.312,0.0,0.0,105914.4,105914.4
6011,32.0,14171.27,0.0,0.0,1629.69605,1629.69605,0.0,0.0,7085.635,7085.635
6011,57.0,0.0,52800.0,7316.31,7815.1203,7815.1203,0.0,0.0,30058.155,30058.155
6013,27.0,56880.0,0.0,0.0,6541.2,6541.2,0.0,0.0,28440.0,28440.0
6013,61.0,0.0,5000.0,105301.0,14339.13,14339.13,0.0,0.0,55150.5,55150.5
6015,35.0,0.0,0.0,46354.036,6026.02468,6026.02468,0.0,0.0,23177.018,23177.018
6015,52.0,0.0,111400.0,1347.964,14657.23532,14657.23532,0.0,0.0,56373.982,56373.982
6017,22.0,3000.0,370200.0,189723.1,73135.003,73135.003,0.0,0.0,281461.55,281461.55
6019,10.0,574620.0,0.0,0.0,66081.3,66081.3,0.0,0.0,287310.0,287310.0
6019,51.0,0.0,149900.0,191818.0,44423.34,44423.34,0.0,0.0,170859.0,170859.0
6021,8.0,403900.0,43700.0,19210.77,54626.9001,54626.9001,0.0,0.0,233405.385,233405.385
6023,29.0,0.0,74196.2,0.0,9645.506,9645.506,0.0,0.0,37098.1,37098.1
6023,35.0,0.0,963503.8,214142.164,153093.97532,153093.97532,0.0,0.0,588822.982,588822.982
6023,36.0,0.0,0.0,74455.436,9679.20668,9679.20668,0.0,0.0,37227.718,37227.718
6025,49.0,239960.0,0.0,0.0,27595.4,27595.4,0.0,0.0,119980.0,119980.0
6025,50.0,0.0,142400.0,26177.62,21915.0906,21915.0906,0.0,0.0,84288.81,84288.81
6027,13.0,230.0,129500.0,8279.31,17937.7603,17937.7603,0.0,0.0,69004.655,69004.655
6029,69.0,384900.0,215100.0,103458.2,85676.066,85676.066,0.0,0.0,351729.1,351729.1
