origin,destination,herb_road,herb_rail,wood_road,wood_rail
6001,9,92.6209,186.591,122.0,130.62
6001,10,74.1404,243.44,74.1404,243.44
6001,11,100.503,130.62,100.503,130.62
6001,12,310.376,186.591,363.275,0.0
6001,13,365.679,186.591,418.577,0.0
6001,14,80.4249,186.591,80.7148,243.44
6001,15,158.306,0.0,158.306,0.0
6001,16,144.217,345.862,173.732,391.822
6001,17,79.4672,362.375,79.4672,362.375
6001,18,154.846,436.565,154.846,436.565
6001,19,98.2991,332.648,97.0311,357.193
6001,20,133.97,67.9239,133.97,67.9239
6001,21,127.556,345.862,174.22,391.822
6001,22,159.138,67.9239,159.138,67.9239
6001,23,179.184,345.862,225.847,391.822
6001,24,212.907,67.9239,212.907,67.9239
6001,25,202.62,588.787,200.889,588.279
6001,26,172.345,67.9239,172.345,67.9239
6001,27,54.4706,0.0,54.4706,0.0
6001,28,145.78,67.9239,145.78,67.9239
6001,29,186.27,588.787,182.047,588.279
6001,30,188.298,14.0081,188.298,14.0081
6001,31,123.715,67.9239,123.715,67.9239
6001,32,119.325,14.0081,119.325,14.0081
6001,33,269.871,14.0081,269.871,14.0081
6001,34,176.885,739.614,170.982,733.337
6001,35,406.15,152.579,406.15,152.579
6001,36,344.802,14.0081,344.802,14.0081
6001,37,158.185,152.579,158.185,152.579
6001,38,105.331,345.862,151.995,391.822
6001,39,89.9622,440.03,88.6943,464.574
6001,40,84.5396,739.324,84.5396,739.324
6001,41,173.881,436.565,173.881,436.565
6001,42,161.135,157.936,159.867,182.48
6001,43,141.568,157.936,140.3,182.48
6001,44,90.7203,352.318,90.7203,352.318
6001,45,88.9335,243.44,88.9335,243.44
6003,9,176.287,431.332,253.427,62.6963
6003,10,157.806,488.182,205.567,175.516
6003,11,184.169,375.591,231.93,62.6963
6003,12,196.714,0.0,218.358,0.0
6003,13,252.016,0.0,273.66,0.0
6003,14,164.091,431.332,212.142,175.516
6003,15,125.847,0.0,168.02,0.0
6003,16,69.136,0.0,35.9272,0.0
6003,17,163.133,607.346,210.894,294.451
6003,18,238.511,681.536,286.272,368.641
6003,19,180.697,702.608,228.458,394.453
6003,20,104.721,0.0,146.893,0.0
6003,21,202.383,0.0,187.861,0.0
6003,22,145.175,0.0,111.966,0.0
6003,23,254.011,0.0,239.489,0.0
6003,24,224.064,0.0,190.855,0.0
6003,25,286.286,454.927,385.426,0.0
6003,26,186.172,0.0,152.964,0.0
6003,27,231.584,0.0,220.288,0.0
6003,28,178.813,0.0,145.604,0.0
6003,29,269.936,454.927,280.705,500.378
6003,30,251.145,0.0,217.936,0.0
6003,31,206.967,0.0,165.842,0.0
6003,32,236.193,0.0,195.513,0.0
6003,33,324.753,0.0,291.544,0.0
6003,34,260.55,984.585,302.409,665.413
6003,35,489.816,435.731,409.239,740.581
6003,36,432.731,0.0,399.522,0.0
6003,37,241.851,435.731,289.612,218.998
6003,38,140.102,0.0,106.893,0.0
6003,39,172.36,809.989,220.121,501.835
6003,40,168.205,984.295,215.966,671.4
6003,41,257.547,681.536,305.308,368.641
6003,42,243.533,527.895,291.294,219.741
6003,43,223.966,527.895,271.727,219.741
6003,44,174.386,597.289,222.147,284.394
6003,45,172.599,488.182,220.36,175.516
6005,9,136.763,118.667,161.667,62.6963
6005,10,118.283,175.516,113.807,175.516
6005,11,144.645,62.6963,140.17,62.6963
6005,12,305.642,0.0,310.118,0.0
6005,13,360.945,0.0,365.42,0.0
6005,14,124.567,118.667,120.381,175.516
6005,15,80.7354,0.0,80.7787,0.0
6005,16,123.212,0.0,127.687,0.0
6005,17,123.609,294.451,119.134,294.451
6005,18,198.988,368.641,194.512,368.641
6005,19,141.173,394.453,136.698,394.453
6005,20,59.6089,0.0,59.6522,0.0
6005,21,171.698,324.178,279.621,0.0
6005,22,61.1366,0.0,56.661,0.0
6005,23,223.326,324.178,331.249,0.0
6005,24,142.981,0.0,138.506,0.0
6005,25,246.763,593.097,240.556,592.588
6005,26,102.134,0.0,97.6581,0.0
6005,27,133.003,0.0,128.528,0.0
6005,28,80.6443,0.0,76.1687,0.0
6005,29,230.412,593.097,221.713,592.588
6005,30,150.495,0.0,146.02,0.0
6005,31,78.5571,0.0,74.0815,0.0
6005,32,108.229,0.0,103.753,0.0
6005,33,224.104,0.0,219.628,0.0
6005,34,221.027,671.69,210.649,665.413
6005,35,450.293,218.998,350.248,667.874
6005,36,332.082,0.0,327.606,0.0
6005,37,202.327,218.998,197.852,218.998
6005,38,194.177,0.0,198.653,0.0
6005,39,132.837,501.835,128.361,501.835
6005,40,128.682,671.4,124.206,671.4
6005,41,218.023,368.641,213.548,368.641
6005,42,204.01,219.741,199.534,219.741
6005,43,184.442,219.741,179.967,219.741
6005,44,134.863,284.394,130.387,284.394
6005,45,133.076,175.516,128.6,175.516
6007,9,221.026,118.667,284.382,62.6963
6007,10,202.546,175.516,236.522,175.516
6007,11,228.908,62.6963,262.885,62.6963
6007,12,443.145,0.0,474.781,0.0
6007,13,498.448,0.0,530.083,0.0
6007,14,208.83,118.667,243.096,175.516
6007,15,233.081,0.0,264.993,0.0
6007,16,224.95,0.0,256.862,0.0
6007,17,207.872,294.451,241.849,294.451
6007,18,283.251,368.641,317.227,368.641
6007,19,221.076,370.754,260.953,370.754
6007,20,211.955,0.0,243.867,0.0
6007,21,198.291,0.0,197.472,0.0
6007,22,133.402,0.0,165.314,0.0
6007,23,227.81,0.0,237.964,0.0
6007,24,82.2725,0.0,111.41,0.0
6007,25,373.747,0.0,383.901,0.0
6007,26,92.4051,0.0,124.317,0.0
6007,27,179.652,0.0,213.629,0.0
6007,28,111.566,0.0,143.478,0.0
6007,29,313.524,0.0,323.679,0.0
6007,30,27.4328,0.0,67.3157,0.0
6007,31,101.226,0.0,135.202,0.0
6007,32,97.286,0.0,137.163,0.0
6007,33,61.5348,0.0,58.4511,0.0
6007,34,305.29,671.69,333.363,665.413
6007,35,363.497,0.0,373.652,0.0
6007,36,157.444,0.0,167.599,0.0
6007,37,214.45,0.0,241.084,0.0
6007,38,170.906,0.0,200.044,0.0
6007,39,212.739,478.135,252.616,478.135
6007,40,212.945,671.4,246.921,671.4
6007,41,302.286,368.641,336.263,368.641
6007,42,283.912,196.041,323.789,196.041
6007,43,264.345,196.041,304.222,196.041
6007,44,219.125,284.394,253.102,284.394
6007,45,217.339,175.516,251.315,175.516
6009,9,124.773,118.667,154.152,62.6963
6009,10,106.292,175.516,106.292,175.516
6009,11,132.655,62.6963,132.655,62.6963
6009,12,272.946,0.0,272.946,0.0
6009,13,328.248,0.0,328.248,0.0
6009,14,112.577,118.667,112.867,175.516
6009,15,35.176,0.0,35.176,0.0
6009,16,168.771,0.0,168.771,0.0
6009,17,111.619,294.451,111.619,294.451
6009,18,186.997,368.641,186.997,368.641
6009,19,129.183,394.453,129.183,394.453
6009,20,14.0495,0.0,14.0495,0.0
6009,21,159.708,324.178,206.372,370.138
6009,22,81.1137,0.0,81.1137,0.0
6009,23,211.336,324.178,257.999,370.138
6009,24,162.958,0.0,162.958,0.0
6009,25,234.772,593.097,233.041,592.588
6009,26,122.111,0.0,122.111,0.0
6009,27,121.535,0.0,121.535,0.0
6009,28,100.621,0.0,100.621,0.0
6009,29,218.422,593.097,214.199,592.588
6009,30,170.473,0.0,170.473,0.0
6009,31,98.5343,0.0,98.5343,0.0
6009,32,128.206,0.0,128.206,0.0
6009,33,244.081,0.0,244.081,0.0
6009,34,209.037,671.69,203.134,665.413
6009,35,438.302,218.998,342.733,667.874
6009,36,352.059,0.0,352.059,0.0
6009,37,190.337,218.998,190.337,218.998
6009,38,137.483,324.178,234.022,0.0
6009,39,120.846,501.835,120.846,501.835
6009,40,116.691,671.4,116.691,671.4
6009,41,206.033,368.641,206.033,368.641
6009,42,192.019,219.741,192.019,219.741
6009,43,172.452,219.741,172.452,219.741
6009,44,122.872,284.394,122.872,284.394
6009,45,121.085,175.516,121.085,175.516
6011,9,199.933,199.094,213.071,281.694
6011,10,181.453,255.943,165.211,394.514
6011,11,207.815,143.123,191.574,281.694
6011,12,417.689,199.094,433.368,281.694
6011,13,472.991,199.094,488.67,281.694
6011,14,187.737,199.094,171.785,394.514
6011,15,250.558,0.0,228.4,281.694
6011,16,265.345,0.0,319.037,0.0
6011,17,186.78,374.878,170.538,513.449
6011,18,262.158,449.068,245.916,587.639
6011,19,204.344,370.754,214.423,365.646
6011,20,229.432,0.0,225.041,218.998
6011,21,247.397,0.0,315.645,0.0
6011,22,173.797,0.0,227.489,0.0
6011,23,266.242,0.0,358.656,0.0
6011,24,128.894,0.0,197.142,0.0
6011,25,368.415,0.0,291.96,678.148
6011,26,132.8,0.0,201.047,0.0
6011,27,174.119,0.0,173.912,152.579
6011,28,140.594,0.0,193.851,0.0
6011,29,301.884,0.0,401.79,0.0
6011,30,67.8273,0.0,136.075,0.0
6011,31,116.848,0.0,170.105,0.0
6011,32,96.6491,0.0,148.023,0.0
6011,33,110.345,0.0,202.759,0.0
6011,34,284.197,752.117,262.053,884.411
6011,35,351.857,0.0,283.477,0.0
6011,36,145.804,0.0,245.71,0.0
6011,37,150.849,0.0,50.9425,0.0
6011,38,217.528,0.0,285.776,0.0
6011,39,196.007,478.135,206.086,473.028
6011,40,191.852,751.827,175.61,890.398
6011,41,281.193,449.068,264.952,587.639
6011,42,267.18,196.041,277.259,190.934
6011,43,247.612,196.041,257.692,190.934
6011,44,198.033,364.821,181.791,503.392
6011,45,196.246,255.943,180.004,394.514
6013,9,75.8753,118.667,94.8933,130.62
6013,10,57.3949,175.516,47.0337,243.44
6013,11,83.7575,62.6963,73.3963,130.62
6013,12,293.631,118.667,315.191,130.62
6013,13,348.933,118.667,370.493,130.62
6013,14,63.6793,118.667,53.608,243.44
6013,15,120.583,62.6963,110.222,130.62
6013,16,127.472,324.178,146.625,391.822
6013,17,62.7216,294.451,52.3604,362.375
6013,18,138.1,368.641,127.739,436.565
6013,19,80.2856,394.453,69.9244,357.193
6013,20,116.209,0.0,106.863,67.9239
6013,21,110.811,324.178,147.113,391.822
6013,22,142.393,0.0,132.032,67.9239
6013,23,162.438,324.178,198.741,391.822
6013,24,195.284,0.0,185.801,67.9239
6013,25,185.875,593.097,173.783,588.279
6013,26,154.721,0.0,145.238,67.9239
6013,27,15.4394,0.0,32.5813,0.0
6013,28,129.034,0.0,118.673,67.9239
6013,29,169.524,593.097,154.94,588.279
6013,30,167.659,0.0,161.191,14.0081
6013,31,106.97,0.0,96.6086,67.9239
6013,32,100.095,0.0,92.2178,14.0081
6013,33,243.331,0.0,242.765,14.0081
6013,34,160.139,671.69,143.875,733.337
6013,35,389.405,218.998,379.044,152.579
6013,36,335.363,0.0,317.696,14.0081
6013,37,141.439,218.998,131.078,152.579
6013,38,88.5852,324.178,124.888,391.822
6013,39,71.9487,501.835,61.5875,464.574
6013,40,67.794,671.4,57.4329,739.324
6013,41,157.135,368.641,146.774,436.565
6013,42,143.122,219.741,132.761,182.48
6013,43,123.554,219.741,113.193,182.48
6013,44,73.9748,284.394,63.6136,352.318
6013,45,72.188,175.516,61.8268,243.44
6015,9,310.636,700.251,242.39,719.287
6015,10,292.156,757.1,194.53,831.878
6015,11,318.519,644.51,220.893,719.287
6015,12,533.082,454.927,429.071,740.581
6015,13,588.384,454.927,484.373,740.581
6015,14,298.44,700.251,201.105,831.878
6015,15,355.345,644.51,257.719,719.287
6015,16,362.233,454.927,294.122,740.581
6015,17,297.483,876.265,199.857,951.042
6015,18,372.861,950.455,275.236,1025.23
6015,19,315.047,945.533,217.421,1020.31
6015,20,351.985,593.097,254.36,667.874
6015,21,345.572,454.927,294.61,740.581
6015,22,377.154,593.097,279.528,667.874
6015,23,397.199,454.927,346.238,740.581
6015,24,414.064,454.927,333.297,667.874
6015,25,416.46,0.0,321.279,339.98
6015,26,390.36,593.097,292.735,667.874
6015,27,300.857,588.787,203.232,663.565
6015,28,363.795,593.097,266.17,667.874
