origin,destination,km,km_road,km_rail,km_pipe
9,1,579.757,67.6167,486.839,13.1462
9,2,141.892,76.611,62.6963,0.0
9,3,641.236,67.6167,486.839,75.6846
9,4,556.445,68.383,486.839,0.0
9,5,736.916,67.6167,486.839,171.346
9,6,575.443,67.6167,486.839,5.8074
9,7,580.572,67.6167,486.839,11.6946
9,8,568.89,67.6167,486.839,3.22085
9,9,580.572,67.6167,486.839,11.6946
9,10,587.746,67.6167,486.839,21.4268
9,11,608.377,67.6167,486.839,30.6073
9,12,737.048,67.6167,486.839,171.391
9,13,630.691,67.6167,486.839,36.9302
9,14,602.633,67.6167,486.839,25.0723
9,15,583.988,67.6167,486.839,6.50326
9,16,220.371,76.611,62.6963,65.6009
9,17,291.297,76.611,62.6963,141.082
9,18,271.566,76.611,62.6963,125.204
9,19,211.98,76.611,62.6963,65.1223
9,20,669.96,392.548,62.6963,206.425
9,21,243.369,76.611,62.6963,96.6067
9,22,244.807,76.611,62.6963,98.1307
9,23,630.518,67.6167,486.839,65.6235
9,24,154.454,76.611,62.6963,3.89205
9,25,272.935,76.611,62.6963,125.846
9,26,244.116,76.611,62.6963,97.6298
9,27,577.323,67.6167,486.839,11.4201
9,28,300.892,67.6167,197.022,0.0
9,29,594.766,67.6167,486.839,29.9786
9,30,641.042,67.6167,486.839,76.0405
9,31,271.854,76.611,62.6963,125.428
9,32,244.791,76.611,62.6963,98.1307
9,33,583.105,67.6167,486.839,16.7347
9,34,297.399,167.878,112.775,0.0
9,35,283.658,67.6167,197.022,0.0
9,36,248.502,76.611,62.6963,98.9128
9,37,608.23,67.6167,486.839,36.9302
9,38,603.137,67.6167,486.839,27.3486
9,39,244.739,76.611,62.6963,97.6941
9,40,290.398,76.611,62.6963,138.735
9,41,352.8,76.611,62.6963,206.425
9,42,101.268,100.687,0.0,0.0
9,43,726.964,67.6167,486.839,160.765
9,44,597.878,67.6167,486.839,28.6099
9,45,289.259,76.611,62.6963,141.082
9,46,221.319,76.611,62.6963,68.4158
9,47,893.022,67.6167,486.839,320.509
9,48,641.17,67.6167,486.839,75.6864
9,49,766.469,67.6167,486.839,199.802
9,50,577.29,67.6167,486.839,11.8681
9,51,581.107,67.6167,486.839,12.1653
9,52,141.834,76.6573,62.6963,0.0
9,53,205.989,76.611,62.6963,53.5796
9,54,244.326,76.611,62.6963,96.6445
9,55,584.937,67.6167,486.839,16.7214
9,56,584.571,67.6167,486.839,16.7347
9,57,245.121,76.611,62.6963,98.1307
9,58,216.878,76.611,62.6963,70.4519
9,59,272.805,76.611,62.6963,125.706
9,60,288.898,76.611,62.6963,141.082
9,61,154.207,76.611,62.6963,3.99282
9,62,579.781,67.6167,486.839,13.2039
9,63,645.601,67.6167,486.839,76.2464
9,64,634.585,67.6167,486.839,36.9302
9,65,575.331,67.6167,486.839,5.24632
9,66,218.265,76.611,62.6963,70.2771
9,67,578.177,67.6167,486.839,10.8105
9,68,200.974,76.611,62.6963,47.1117
9,69,284.465,67.6167,197.022,0.0
9,70,599.768,67.6167,486.839,29.9103
9,71,584.048,67.6167,486.839,16.0417
9,72,584.254,67.6167,486.839,14.8631
9,73,581.192,67.6167,486.839,11.5363
9,74,320.593,107.416,62.6963,141.082
9,75,216.841,76.4329,139.553,0.0
9,76,143.226,78.6389,62.6963,0.0
9,77,244.965,76.6741,62.6963,98.1307
9,78,672.999,396.056,62.6963,206.425
9,79,743.029,73.5629,486.839,171.391
9,80,264.406,95.4196,62.6963,98.1307
9,81,297.94,83.7715,62.6963,138.735
9,82,585.879,68.9049,486.839,14.8631
9,83,585.396,67.6167,486.839,16.7214
9,84,706.232,143.09,486.839,36.9302
9,85,225.867,84.8441,62.6963,69.7601
10,1,520.104,31.3154,286.989,163.657
10,2,295.141,31.3154,0.0,258.816
10,3,581.583,31.3154,286.989,226.195
10,4,496.792,32.0817,286.989,150.511
10,5,677.263,31.3154,286.989,321.856
10,6,515.79,31.3154,286.989,156.318
10,7,520.92,31.3154,286.989,162.205
10,8,509.237,31.3154,286.989,153.732
10,9,520.92,31.3154,286.989,162.205
10,10,528.093,31.3154,286.989,171.937
10,11,548.724,31.3154,286.989,181.118
10,12,677.395,31.3154,286.989,321.902
10,13,571.039,31.3154,286.989,187.441
10,14,542.98,31.3154,286.989,175.583
10,15,524.336,31.3154,286.989,157.014
10,16,233.703,31.3154,0.0,193.215
10,17,375.15,31.3154,0.0,339.216
10,18,386.06,31.3154,0.0,353.98
10,19,295.832,31.3154,0.0,263.256
10,20,814.494,347.253,0.0,465.241
10,21,327.222,31.3154,0.0,294.741
10,22,328.659,31.3154,0.0,296.265
10,23,570.866,31.3154,286.989,216.134
10,24,298.988,31.3154,0.0,262.708
10,25,386.146,31.3154,0.0,353.339
10,26,327.968,31.3154,0.0,295.764
10,27,517.67,31.3154,286.989,161.931
10,28,207.926,31.3154,0.0,150.511
10,29,535.113,31.3154,286.989,180.489
10,30,581.389,31.3154,286.989,226.551
10,31,385.901,31.3154,0.0,353.757
10,32,328.643,31.3154,0.0,296.265
10,33,523.453,31.3154,286.989,167.245
10,34,301.669,120.056,0.0,150.511
10,35,190.693,31.3154,0.0,150.511
10,36,393.037,31.3154,0.0,357.729
10,37,548.577,31.3154,286.989,187.441
10,38,543.484,31.3154,286.989,177.859
10,39,328.591,31.3154,0.0,295.828
10,40,374.25,31.3154,0.0,336.869
10,41,497.334,31.3154,0.0,465.241
10,42,31.8965,31.3154,0.0,0.0
10,43,667.312,31.3154,286.989,311.275
10,44,538.225,31.3154,286.989,179.121
10,45,373.111,31.3154,0.0,339.216
10,46,365.853,31.3154,0.0,327.232
10,47,833.37,31.3154,286.989,471.02
10,48,581.517,31.3154,286.989,226.197
10,49,706.816,31.3154,286.989,350.312
10,50,517.637,31.3154,286.989,162.379
10,51,521.454,31.3154,286.989,162.676
10,52,295.295,31.3154,0.0,258.874
10,53,289.841,31.3154,0.0,251.714
10,54,328.178,31.3154,0.0,294.778
10,55,525.284,31.3154,286.989,167.232
10,56,524.918,31.3154,286.989,167.245
10,57,328.974,31.3154,0.0,296.265
10,58,300.731,31.3154,0.0,268.586
10,59,386.296,31.3154,0.0,353.478
10,60,372.75,31.3154,0.0,339.216
10,61,298.741,31.3154,0.0,262.809
10,62,520.128,31.3154,286.989,163.715
10,63,585.949,31.3154,286.989,226.757
10,64,574.933,31.3154,286.989,187.441
10,65,515.678,31.3154,286.989,155.757
10,66,302.118,31.3154,0.0,268.411
10,67,518.525,31.3154,286.989,161.321
10,68,345.509,31.3154,0.0,305.928
10,69,191.499,31.3154,0.0,150.511
10,70,540.115,31.3154,286.989,180.421
10,71,524.395,31.3154,286.989,166.552
10,72,524.602,31.3154,286.989,165.374
10,73,521.539,31.3154,286.989,162.047
10,74,404.445,62.1203,0.0,339.216
10,75,389.913,34.8073,0.0,353.478
10,76,297.866,33.297,0.0,258.874
10,77,328.817,31.3786,0.0,296.265
10,78,817.534,350.76,0.0,465.241
10,79,683.376,37.2616,286.989,321.902
10,80,348.258,50.124,0.0,296.265
10,81,381.793,38.476,0.0,336.869
10,82,526.226,32.6036,286.989,165.374
10,83,525.743,31.3154,286.989,167.232
10,84,646.579,106.789,286.989,187.441
10,85,309.719,39.5486,0.0,267.894
11,1,871.705,55.1139,349.685,422.473
11,2,120.395,55.1139,62.6963,0.0
11,3,933.184,55.1139,349.685,485.011
11,4,848.393,55.8802,349.685,409.327
11,5,1028.86,55.1139,349.685,580.672
11,6,867.391,55.1139,349.685,415.134
11,7,872.52,55.1139,349.685,421.021
11,8,860.838,55.1139,349.685,412.548
11,9,872.52,55.1139,349.685,421.021
11,10,879.694,55.1139,349.685,430.754
11,11,900.325,55.1139,349.685,439.934
11,12,1029.0,55.1139,349.685,580.718
11,13,922.639,55.1139,349.685,446.257
11,14,894.581,55.1139,349.685,434.399
11,15,875.936,55.1139,349.685,415.83
11,16,198.874,55.1139,62.6963,65.6009
11,17,269.8,55.1139,62.6963,141.082
11,18,250.069,55.1139,62.6963,125.204
11,19,190.482,55.1139,62.6963,65.1223
11,20,648.463,371.051,62.6963,206.425
11,21,221.872,55.1139,62.6963,96.6067
11,22,223.31,55.1139,62.6963,98.1307
11,23,922.466,55.1139,349.685,474.95
11,24,132.957,55.1139,62.6963,3.89205
11,25,251.438,55.1139,62.6963,125.846
11,26,222.619,55.1139,62.6963,97.6298
11,27,869.271,55.1139,349.685,420.747
11,28,559.527,55.1139,62.6963,409.327
11,29,886.714,55.1139,349.685,439.305
11,30,932.99,55.1139,349.685,485.367
11,31,250.357,55.1139,62.6963,125.428
11,32,223.294,55.1139,62.6963,98.1307
11,33,875.054,55.1139,349.685,426.061
11,34,653.269,143.854,62.6963,409.327
11,35,542.293,55.1139,62.6963,409.327
11,36,227.005,55.1139,62.6963,98.9128
11,37,900.178,55.1139,349.685,446.257
11,38,895.085,55.1139,349.685,436.675
11,39,223.242,55.1139,62.6963,97.6941
11,40,268.901,55.1139,62.6963,138.735
11,41,331.303,55.1139,62.6963,206.425
11,42,383.639,55.1139,62.6963,258.816
11,43,1018.91,55.1139,349.685,570.091
11,44,889.826,55.1139,349.685,437.937
11,45,267.762,55.1139,62.6963,141.082
11,46,199.822,55.1139,62.6963,68.4158
11,47,1184.97,55.1139,349.685,729.836
11,48,933.118,55.1139,349.685,485.013
11,49,1058.42,55.1139,349.685,609.128
11,50,869.238,55.1139,349.685,421.195
11,51,873.055,55.1139,349.685,421.492
11,52,120.337,55.1603,62.6963,0.0
11,53,184.492,55.1139,62.6963,53.5796
11,54,222.829,55.1139,62.6963,96.6445
11,55,876.885,55.1139,349.685,426.048
11,56,876.519,55.1139,349.685,426.061
11,57,223.624,55.1139,62.6963,98.1307
11,58,195.381,55.1139,62.6963,70.4519
11,59,251.308,55.1139,62.6963,125.706
11,60,267.401,55.1139,62.6963,141.082
11,61,132.71,55.1139,62.6963,3.99282
11,62,871.729,55.1139,349.685,422.531
11,63,937.549,55.1139,349.685,485.573
11,64,926.534,55.1139,349.685,446.257
11,65,867.279,55.1139,349.685,414.573
11,66,196.768,55.1139,62.6963,70.2771
11,67,870.126,55.1139,349.685,420.137
11,68,179.477,55.1139,62.6963,47.1117
11,69,543.1,55.1139,62.6963,409.327
11,70,891.716,55.1139,349.685,439.237
11,71,875.996,55.1139,349.685,425.368
11,72,876.202,55.1139,349.685,424.19
11,73,873.14,55.1139,349.685,420.863
11,74,299.096,85.9189,62.6963,141.082
11,75,195.344,54.9359,139.553,0.0
11,76,121.729,57.1418,62.6963,0.0
11,77,223.468,55.1771,62.6963,98.1307
11,78,651.502,374.559,62.6963,206.425
11,79,1034.98,61.0601,349.685,580.718
11,80,242.909,73.9226,62.6963,98.1307
11,81,276.443,62.2745,62.6963,138.735
11,82,877.827,56.4021,349.685,424.19
11,83,877.344,55.1139,349.685,426.048
11,84,998.18,130.587,349.685,446.257
11,85,204.37,63.3471,62.6963,69.7601
12,1,1282.43,268.533,286.989,686.537
12,2,539.833,268.533,0.0,264.064
