origin,destination,herb_road,herb_rail,wood_road,wood_rail
6001,1,194.244,739.614,188.341,733.337
6001,2,215.364,744.992,215.364,744.992
6001,3,54.895,157.936,53.627,182.48
6001,4,38.2227,0.0,38.2227,0.0
6001,5,58.4595,67.9239,58.4595,67.9239
6001,6,80.1406,436.565,80.1406,436.565
6001,7,98.8348,345.862,145.499,391.822
6001,8,257.503,14.0081,257.503,14.0081
6001,46,45.8428,352.318,45.8428,352.318
6001,47,45.8428,320.826,45.8428,320.826
6001,48,45.8428,362.375,45.8428,362.375
6001,49,45.8428,970.154,45.8428,970.154
6001,50,45.8428,964.569,45.8428,964.569
6001,51,45.8428,243.44,45.8428,243.44
6001,52,45.8428,67.9239,45.8428,67.9239
6001,53,45.8428,739.614,45.8428,739.614
6001,54,47.1108,157.936,45.8428,182.48
6001,55,47.1108,332.648,45.8428,357.193
6001,56,45.8428,130.62,45.8428,130.62
6001,57,45.8428,152.579,45.8428,152.579
6001,58,45.8428,436.565,45.8428,436.565
6001,59,45.8428,736.327,45.8428,736.327
6001,60,45.8428,739.324,45.8428,739.324
6001,61,47.1108,29.7954,45.8428,39.8276
6001,62,45.8428,21.1681,45.8428,21.1681
6001,63,45.8428,737.402,45.8428,737.402
6001,64,45.8428,739.113,45.8428,739.113
6001,65,47.1108,440.03,45.8428,464.574
6001,66,45.8428,436.565,45.8428,436.565
6001,67,45.8428,723.554,45.8428,723.554
6001,68,45.8428,729.559,45.8428,729.559
6001,69,45.8428,436.565,45.8428,436.565
6001,70,45.8428,5.14179,45.8428,5.14179
6001,71,45.8428,0.0,45.8428,0.0
6001,72,45.8428,737.661,45.8428,737.661
6001,73,45.8428,14.0081,45.8428,14.0081
6001,74,45.8428,738.152,45.8428,738.152
6001,75,45.8428,740.949,45.8428,740.949
6003,1,277.91,984.585,319.768,665.413
6003,2,299.029,989.963,346.79,677.068
6003,3,137.293,527.895,185.054,219.741
6003,4,196.621,387.565,261.335,67.9239
6003,5,194.405,0.0,179.669,0.0
6003,6,163.806,681.536,211.567,368.641
6003,7,173.662,0.0,159.14,0.0
6003,8,320.35,0.0,287.142,0.0
6003,46,129.508,597.289,177.27,284.394
6003,47,129.508,565.797,177.27,252.902
6003,48,129.508,607.346,177.27,294.451
6003,49,129.508,1215.12,177.27,902.23
6003,50,129.508,1209.54,177.27,896.645
6003,51,129.508,488.182,177.27,175.516
6003,52,189.059,0.0,177.27,0.0
6003,53,129.508,984.585,177.27,671.69
6003,54,129.508,527.895,177.27,219.741
6003,55,129.508,702.608,177.27,394.453
6003,56,129.508,375.591,177.27,62.6963
6003,57,129.508,435.731,177.27,218.998
6003,58,129.508,681.536,177.27,368.641
6003,59,129.508,981.298,177.27,668.403
6003,60,129.508,984.295,177.27,671.4
6003,61,129.508,375.771,177.27,107.752
6003,62,129.508,354.913,177.27,87.5869
6003,63,129.508,982.373,177.27,669.478
6003,64,129.508,984.084,177.27,671.189
6003,65,129.508,809.989,177.27,501.835
6003,66,129.508,681.536,177.27,368.641
6003,67,129.508,968.525,177.27,655.63
6003,68,129.508,974.53,177.27,661.635
6003,69,129.508,681.536,177.27,368.641
6003,70,129.508,340.72,177.27,71.5606
6003,71,129.508,345.862,177.27,67.9239
6003,72,129.508,982.632,177.27,669.737
6003,73,129.508,338.122,177.27,80.4269
6003,74,129.508,983.123,177.27,670.228
6003,75,129.508,985.921,177.27,673.025
6005,1,238.386,671.69,228.008,665.413
6005,2,259.506,677.068,255.03,677.068
6005,3,97.7693,219.741,93.2937,219.741
6005,4,157.098,110.074,169.575,67.9239
6005,5,92.384,0.0,87.9084,0.0
6005,6,124.283,368.641,119.807,368.641
6005,7,142.977,324.178,250.9,0.0
6005,8,219.701,0.0,215.226,0.0
6005,46,89.9851,284.394,85.5095,284.394
6005,47,89.9851,252.902,85.5095,252.902
6005,48,89.9851,294.451,85.5095,294.451
6005,49,89.9851,902.23,85.5095,902.23
6005,50,89.9851,896.645,85.5095,896.645
6005,51,89.9851,175.516,85.5095,175.516
6005,52,89.9851,0.0,85.5095,0.0
6005,53,89.9851,671.69,85.5095,671.69
6005,54,89.9851,219.741,85.5095,219.741
6005,55,89.9851,394.453,85.5095,394.453
6005,56,89.9851,62.6963,85.5095,62.6963
6005,57,89.9851,218.998,85.5095,218.998
6005,58,89.9851,368.641,85.5095,368.641
6005,59,89.9851,668.403,85.5095,668.403
6005,60,89.9851,671.4,85.5095,671.4
6005,61,89.9851,107.752,85.5095,107.752
6005,62,89.9851,87.5869,85.5095,87.5869
6005,63,89.9851,669.478,85.5095,669.478
6005,64,89.9851,671.189,85.5095,671.189
6005,65,89.9851,501.835,85.5095,501.835
6005,66,89.9851,368.641,85.5095,368.641
6005,67,89.9851,655.63,85.5095,655.63
6005,68,89.9851,661.635,85.5095,661.635
6005,69,89.9851,368.641,85.5095,368.641
6005,70,89.9851,71.5606,85.5095,71.5606
6005,71,89.9851,67.9239,85.5095,67.9239
6005,72,89.9851,669.737,85.5095,669.737
6005,73,89.9851,80.4269,85.5095,80.4269
6005,74,89.9851,670.228,85.5095,670.228
6005,75,89.9851,673.025,85.5095,673.025
6007,1,322.649,671.69,350.723,665.413
6007,2,343.769,677.068,377.745,677.068
6007,3,177.672,196.041,217.549,196.041
6007,4,237.0,55.7112,293.83,14.0081
6007,5,167.201,0.0,201.177,0.0
6007,6,208.546,368.641,242.522,368.641
6007,7,224.54,0.0,226.193,0.0
6007,8,45.0635,0.0,55.2179,0.0
6007,46,174.248,284.394,208.224,284.394
6007,47,174.248,252.902,208.224,252.902
6007,48,174.248,294.451,208.224,294.451
6007,49,174.248,902.23,208.224,902.23
6007,50,174.248,896.645,208.224,896.645
6007,51,174.248,175.516,208.224,175.516
6007,52,174.248,0.0,208.224,0.0
6007,53,174.248,671.69,208.224,671.69
6007,54,169.888,196.041,209.765,196.041
6007,55,169.888,370.754,209.765,370.754
6007,56,174.248,62.6963,208.224,62.6963
6007,57,169.888,144.839,209.765,144.839
6007,58,174.248,368.641,208.224,368.641
6007,59,174.248,668.403,208.224,668.403
6007,60,174.248,671.4,208.224,671.4
6007,61,169.888,43.9171,209.765,43.9171
6007,62,169.888,23.0594,209.765,23.0594
6007,63,174.248,669.478,208.224,669.478
6007,64,174.248,671.189,208.224,671.189
6007,65,169.888,478.135,209.765,478.135
6007,66,174.248,368.641,208.224,368.641
6007,67,174.248,655.63,208.224,655.63
6007,68,174.248,661.635,208.224,661.635
6007,69,174.248,368.641,208.224,368.641
6007,70,169.888,8.86628,209.765,8.86628
6007,71,169.888,14.0081,209.765,14.0081
6007,72,174.248,669.737,208.224,669.737
6007,73,169.888,0.0,209.765,0.0
6007,74,174.248,670.228,208.224,670.228
6007,75,174.248,673.025,208.224,673.025
6009,1,226.396,671.69,220.493,665.413
6009,2,247.515,677.068,247.515,677.068
6009,3,85.7789,219.741,85.7789,219.741
6009,4,145.107,110.074,162.06,67.9239
6009,5,82.6418,0.0,82.6418,0.0
6009,6,112.292,368.641,112.292,368.641
6009,7,130.987,324.178,177.65,370.138
6009,8,239.678,0.0,239.678,0.0
6009,46,77.9947,284.394,77.9947,284.394
6009,47,77.9947,252.902,77.9947,252.902
6009,48,77.9947,294.451,77.9947,294.451
6009,49,77.9947,902.23,77.9947,902.23
6009,50,77.9947,896.645,77.9947,896.645
6009,51,77.9947,175.516,77.9947,175.516
6009,52,77.9947,0.0,77.9947,0.0
6009,53,77.9947,671.69,77.9947,671.69
6009,54,77.9947,219.741,77.9947,219.741
6009,55,77.9947,394.453,77.9947,394.453
6009,56,77.9947,62.6963,77.9947,62.6963
6009,57,77.9947,218.998,77.9947,218.998
6009,58,77.9947,368.641,77.9947,368.641
6009,59,77.9947,668.403,77.9947,668.403
6009,60,77.9947,671.4,77.9947,671.4
6009,61,77.9947,107.752,77.9947,107.752
6009,62,77.9947,87.5869,77.9947,87.5869
6009,63,77.9947,669.478,77.9947,669.478
6009,64,77.9947,671.189,77.9947,671.189
6009,65,77.9947,501.835,77.9947,501.835
6009,66,77.9947,368.641,77.9947,368.641
6009,67,77.9947,655.63,77.9947,655.63
6009,68,77.9947,661.635,77.9947,661.635
6009,69,77.9947,368.641,77.9947,368.641
6009,70,77.9947,71.5606,77.9947,71.5606
6009,71,77.9947,67.9239,77.9947,67.9239
6009,72,77.9947,669.737,77.9947,669.737
