county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,4.0,3750.0,8100.0,145047.0,27566.46,637.5,3750.0,153147.0,0.0,0.0
6003,47.0,0.0,17900.0,14861.0,5896.98,0.0,0.0,32761.0,0.0,0.0
6005,47.0,0.0,32748.8,0.0,5894.784,0.0,0.0,32748.8,0.0,0.0
6005,51.0,4100.0,0.0,0.0,0.0,697.0,4100.0,0.0,0.0,0.0
6005,52.0,0.0,79851.2,34975.0,20668.716,0.0,0.0,114826.2,0.0,0.0
6007,5.0,0.0,214600.0,105133.7,57552.066,0.0,0.0,319733.7,0.0,0.0
6007,54.0,392050.0,0.0,0.0,0.0,66648.5,392050.0,0.0,0.0,0.0
6009,47.0,1300.0,0.0,0.0,0.0,221.0,1300.0,0.0,0.0,0.0
6009,52.0,0.0,194400.0,60858.0,45946.44,0.0,0.0,255258.0,0.0,0.0
6011,57.0,0.0,52800.0,7316.31,10820.9358,0.0,0.0,60116.31,0.0,0.0
6011,62.0,163437.777778,0.0,0.0,0.0,27784.4222222,163437.777778,0.0,0.0,0.0
6011,73.0,432952.222222,0.0,0.0,0.0,73601.8777778,432952.222222,0.0,0.0,0.0
6013,51.0,6248.77933333,0.0,0.0,0.0,1062.29248667,6248.77933333,0.0,0.0,0.0
6013,56.0,50631.2206667,0.0,0.0,0.0,8607.30751333,50631.2206667,0.0,0.0,0.0
6013,71.0,0.0,5000.0,105301.0,19854.18,0.0,0.0,110301.0,0.0,0.0
6015,61.0,0.0,0.0,47702.0,8586.36,0.0,0.0,47702.0,0.0,0.0
6015,62.0,0.0,111400.0,0.0,20052.0,0.0,0.0,111400.0,0.0,0.0
6017,51.0,3000.0,0.0,0.0,0.0,510.0,3000.0,0.0,0.0,0.0
6017,52.0,0.0,370200.0,189723.1,100786.158,0.0,0.0,559923.1,0.0,0.0
6019,46.0,574620.0,0.0,0.0,0.0,97685.4,574620.0,0.0,0.0,0.0
6019,51.0,0.0,149900.0,191818.0,61509.24,0.0,0.0,341718.0,0.0,0.0
6021,73.0,403900.0,43700.0,19210.77,11323.9386,68663.0,403900.0,62910.77,0.0,0.0
6023,61.0,0.0,0.0,134159.192222,24148.6546,0.0,0.0,134159.192222,0.0,0.0
6023,70.0,0.0,1037700.0,154438.407778,214584.9134,0.0,0.0,1192138.40778,0.0,0.0
6025,49.0,239960.0,0.0,0.0,0.0,40793.2,239960.0,0.0,0.0,0.0
6025,50.0,0.0,142400.0,26177.62,30343.9716,0.0,0.0,168577.62,0.0,0.0
6027,69.0,230.0,129500.0,8279.31,24800.2758,39.1,230.0,137779.31,0.0,0.0
6029,69.0,384900.0,215100.0,103458.2,57340.476,65433.0,384900.0,318558.2,0.0,0.0
6031,46.0,0.0,1000.0,10278.4,2030.112,0.0,0.0,11278.4,0.0,0.0
6031,48.0,327740.0,0.0,0.0,0.0,55715.8,327740.0,0.0,0.0,0.0
6033,57.0,0.0,227600.0,41756.23,48484.1214,0.0,0.0,269356.23,0.0,0.0
6033,62.0,13020.0,0.0,0.0,0.0,2213.4,13020.0,0.0,0.0,0.0
6035,51.0,9810.0,0.0,0.0,0.0,1667.7,9810.0,0.0,0.0,0.0
6035,56.0,0.0,234000.154,10189.164,43954.07724,0.0,0.0,244189.318,0.0,0.0
6035,61.0,0.0,0.0,164749.99,29654.9982,0.0,0.0,164749.99,0.0,0.0
6035,71.0,0.0,279299.846,0.0,50273.97228,0.0,0.0,279299.846,0.0,0.0
6037,53.0,0.0,119300.0,230387.0,62943.66,0.0,0.0,349687.0,0.0,0.0
6037,67.0,990.0,0.0,925751.0,166635.18,168.3,990.0,925751.0,0.0,0.0
6039,51.0,162510.0,118200.0,88941.4,37285.452,27626.7,162510.0,207141.4,0.0,0.0
6041,61.0,160.0,23900.0,23579.8,8546.364,27.2,160.0,47479.8,0.0,0.0
6043,51.0,100.0,133700.0,29405.154,29358.92772,17.0,100.0,163105.154,0.0,0.0
6045,57.0,17090.0,203007.06,231528.4,78216.3828,2905.3,17090.0,434535.46,0.0,0.0
6045,61.0,0.0,612934.517778,0.0,110328.2132,0.0,0.0,612934.517778,0.0,0.0
6045,62.0,0.0,205758.422222,0.0,37036.516,0.0,0.0,205758.422222,0.0,0.0
6047,47.0,0.0,2500.0,0.0,450.0,0.0,0.0,2500.0,0.0,0.0
6047,51.0,291370.0,0.0,0.0,0.0,49532.9,291370.0,0.0,0.0,0.0
6047,56.0,0.0,0.0,23718.94,4269.4092,0.0,0.0,23718.94,0.0,0.0
6049,54.0,21400.0,0.0,0.0,0.0,3638.0,21400.0,0.0,0.0,0.0
6049,62.0,0.0,324600.0,0.0,58428.0,0.0,0.0,324600.0,0.0,0.0
6049,71.0,0.0,0.0,101699.154,18305.84772,0.0,0.0,101699.154,0.0,0.0
6051,47.0,0.0,63893.1986667,0.0,11500.77576,0.0,0.0,63893.1986667,0.0,0.0
6051,51.0,190.0,0.0,0.0,0.0,32.3,190.0,0.0,0.0,0.0
6051,56.0,0.0,12106.8013333,29216.0,7438.10424,0.0,0.0,41322.8013333,0.0,0.0
6053,3.0,54670.0,93200.0,39279.4,23846.292,9293.9,54670.0,132479.4,0.0,0.0
